type,banner_code,NAME,occupant,address,date_constr,date_acqd,date_reno,sqft,main_meter,rental
Res Hall - M,1428,100 S. West St.,Students,100 S. West St.,,,,7190,0,1
Other,1824,"119 W. High St. (1, 2, 3)",Visiting Faculty,119 W. High St.,,2012,,2240,0,0
Res Hall - M,1720,133 N. College St.,Students,133 N. College St.,1890,2004,2019,2272,0,0
Res Hall - U,1667,"133 W. High St. (2, 5)",Students,133 W. High St,,,,,0,1
Res Hall - S,1200,135 Cedar St.,Students,135 Cedar St.,,2001,,1900,0,0
Res Hall - S,1265,135 N. College St.,Students,135 N. College St.,1910,1989,2019,1476,0,0
Res Hall - S,1490,139 N. College St.,Students,139 N. College St.,1910,1987,2019,1728,0,0
Res Hall - M,1668,141 W. High St.,Students,141 W. High St.,,,,5825,0,1
Res Hall - M,1517,146 W. Louther St.,Students,146 W. Louther St.,,2022,,2864,0,1
Res Hall - U,1518,152 W. Louther St.,Students,152 W. Louther St.,,,,,0,1
Res Hall - U,1521,154 W. Louther St. (1),Students,152 W. Louther St.,,,,,0,1
Res Hall - M,1815,155 W. High St. ,Students,155 W. High St. ,,2006,,4000,0,0
Other,1815,"155 W. High St., Ground Floor",Outside lease,155 W. High St.,,2006,,500,0,0
Res Hall - M,1375,159 W. High St.,Students,159 W. High St.,,1986,,4500,0,0
Academic,1110,162-164  Dickinson Ave.,DEAL Archeology Labs,162-164 Dickinson Ave.,,1998,2010,2500,0,0
Res Hall - M,1430,163 W. High St,Students,163 W. High St.,,1998,,4550,0,0
Res Hall - M,1431,165 W. High St,Students,165 W. High St.,,1998,,4550,0,0
Res Hall - S,1432,169 W. High St.,Students,169 W. High St.,,1998,,1489,0,0
Res Hall - M,1510,170 W. Louther St.,Students,170 W. Louther St.,,1900,2019,2926,0,0
Res Hall - M,1433,171 W. High St.,Students,171 W. High St.,,1998,,3000,0,0
Res Hall - U,1821,19-21 W. High St.,Students,19-23 W. High,,,,,0,1
Res Hall - S,1267,2 Conway St.,Students,2 Conway St.,,2012,2018,1729,0,0
Res Hall - U,1822,23 W. High St.,Students,19-23 W. High,,,,,0,1
Res Hall - M,1055,233 W. Louther St.,Students,233 W. Louther St.,,1986,2022,3675,0,0
Other,1826,"25 Pomfret St (15, 16)",Visiting Faculty,"25 Pomfret St (15, 16)",,,,,0,0
Res Hall - L,1823,27 W. High St.,Students,25-27 W. High St.,1905,,,11750,0,1
Other,1857,344 W. North St.,ResLife Staff,344 W. North,1910,2009,,1586,0,0
Other,1858,362 W. North S.,ResLife Staff,362 W. North,1900,2010,,1111,0,0
Other,1589,368 W. North,Victory Circle,368 W. North St.,1900,2010,,992,0,0
Admin,1275,41 Conway St.,Title IX,41 Conway St.,,,,2200,0,0
Res Hall - S,1515,417 W. Louther St.,Students,417 W. Louther St.,1870,,2019,1462,0,0
Res Hall - S,1525,425 W. Louther St.,Students,425 W. Louther St.,1874,1987,2019,1318,0,0
Academic,1540,46 S. West St.,Music office/rehearsal space,46 S. West St.,,1982,,1775,0,0
Res Hall - S,1545,49 S. College St.,Students,49 S. College St.,1960,1984,2019,1500,0,0
Other,1819,"49 W. High (1, 2, 3)",Visiting Faculty,49 W. High,,2014,,3000,0,0
Other,1999,5 N. Orange St.,"Facilities Management, Print Center, CASE, Project SHARE, CPYB",5 N. Orange St.,,1994,,117500,0,0
Admin,1085,50 Mooreland Ave.,"College Relations, Development",50 Mooreland Ave.,,1998,,27100,0,0
Other,,50 Wilson Street,Assitant coaches,50 Wilson St.,,,,,0,0
Res Hall - S,1550,505 W. Louther St.,Students,505 W. Louther St.,1910,1982,2017,1492,0,0
Res Hall - S,1555,507 W. Louther St.,Students,507 W. Louther St.,1900,2005,2017,1492,0,0
Res Hall - S,1740,509 W. Louther St.,Students,509 W. Louther St.,1902,2005,2017,1532,0,0
Res Hall - S,1560,51 S. College St.,Students,51 S. College St.,1960,1984,2019,1500,0,0
Res Hall - S,1283,513 W. Louther St.,Students,513 W. Louther St.,1910,2014,2017,1532,0,0
Res Hall - S,1565,515 W. Louther St.,Students,515 W. Louther St.,1875,2009,2017,1268,0,0
Res Hall - S,1565,519 W. Louther St.,Students,519 W. Louther St.,1910,2000,2017,1330,0,0
Res Hall - S,1570,521 W. Louther St.,Students,521 W. Louther St.,1910,1983,2017,1448,0,0
Res Hall - S,1575,527 W. Louther St.,Students,527 W. Louther St.,1910,1984,2017,1244,0,0
Res Hall - S,1580,529 W. Louther St.,Students,529 W. Louther St.,1910,1991,2017,1352,0,0
Res Hall - S,1280,531 W. Louther St.,Students,531 W. Louther St.,1910,2001,2017,1636,0,0
Res Hall - S,1295,538 W. Louther St.,Students,538 W. Louther St.,,2006,,1200,0,0
Admin,1585,554 W. Louther St.,ROTC Offices ,554 W. Louther St.,,1984,2017,1440,0,0
Admin,1590,556 W. Louther St.,ROTC Offices,556 W. Louther St.,,1987,2017,2000,0,0
Academic,1035,57 S. College,Education Dept. Offices,57 S. College St.,,1979,,4576,0,0
Academic,1195,61 N. West St.,House Divided/Diamond 6,61 N. West St.,1895,1993,,3091,0,0
Res Hall - L,1315,Adams,Students,90 S. College St.,1962,,,47750,0,0
Other,1210,Allison Church,"Social space, meeting rooms, offices",99 Mooreland Ave.,1958,2013,,33310,0,0
Academic,1005,Althouse ,"IBM, African Studies",261 W. Louther St.,1957,,2009,29133,1,0
Res Hall - L,1320,Armstrong / Quad 8,Students,55 Cherry St.,1964,,,10724,1,0
Other,1210,Asbell ,Jewish Life,262 W. High St.,1920,1943,2003,5995,0,0
Other,1215,ATS ,Multi-functional space,360 W. Louther St.,1971,,,49403,1,0
Res Hall - L,1325,Atwater / Quad 7,Students,415 Dickinson Ave.,1964,,,10724,1,0
Res Hall - L,1330/1400,Baird McClintock / Quad 4-5,Students,412-414 Dickinson Ave.,1964,2000,2000,26000,1,0
Academic,1090,Biddle House,"Registrar, Career Center, Advising",8 N. College St.,1827,1946,,12600,1,0
Other,1162,Biddle Press Box + Restrooms,Athletics,Belvedere St.,2014,,,2195,0,0
Other,1300,Boiling Springs Cottage ,Farm staff,"553 Park Dr., Boiling Springs",,1967,,2250,0,0
Other,1675,Boiling Springs Farm,Barn and Outbuildings,"575 Park Dr., Boiling Springs",,1967,,14500,0,0
Academic,1010,Bosler,Foreign Languages,201 W. High St.,1884,,1940,33692,1,0
Res Hall - L,1335,Buchanan / Quad 2,Students,407 W. High St.,1964,1995,1995,10724,1,0
Academic,1665,Carlisle Theatre,Cubiculo,44 W. High St.,,1997,1997,4000,0,1
Res Hall - S,1340,Carriage House,Students,129 W. Chapel Ave.,1930,,,725,0,0
Res Hall - M,1226,Cherry Apts,Students,128-140 Cherry St.,,,,3519,0,1
Academic,1015,Clarke Center ,Clark Center/CCLA,249-255 W. Louther St.,,1987,,6638,1,0
Res Hall - L,1345,Conway / Quad 1,Students,23 Cherry St.,1964,1995,1995,10724,1,0
Academic,1095,Cook House ,Center for the Future of Native Peoples,239 W. Louther St.,,1986,,3138,1,0
Res Hall - L,1355/1480,Davidson Wilson / Quad 9-10,Students,413 Dickinson Ave. / 434 W. Louther,1964,2005,2005,31000,1,0
Community,1100/1105,DCCC,Daycare,600 Garland Ave.,,1984,2009,10892,0,0
Academic,1025,Denny Hall ,Social Sciences,199 W. High St.,1905,,1984,36512,1,0
Res Hall - L,1360,Drayer Hall,Students,60 S. College St.,1952,,,48720,0,0
Other,1161,Durden ATC,Locker Rooms/Training Center/Meeting Sapce,Belvedere St.,2014,,,22700,0,0
Academic,1030,East College ,Humanities,50 N. West St. ,1836,,2019,28050,1,0
Res Hall - L,1365,Factory Apts.,Students,230-236 W. North St.,,,,13000,0,1
Res Hall - L,1370,Goodyear ,Students,551-595 W. Louther St.,1891,1979,2000,60000,0,0
Academic,1040,Goodyear Arts Studio,Fine Arts ,559 W. Louther St.,1891,1979,2000,30000,0,0
Academic,1810,Green Valley Sanctuary,Research Facility,,,1966,,2500,0,0
Other,1230,Hartman House,Guest Housing,243 W. Louther St.,,1983,,2460,1,0
Res Hall - L,1317,High Street Residence Hall,Students,450 W. High St.,2018,,,41945,0,0
Other,1245,Historic President's House,Alumni Relations/Guest Housing,212 W. High St.,1833,1890,2023,11256,0,0
Other,1240,Holland Union Bldg. ,"Student Life, Dining Services, Student Activities & Services",28 N. College St.,1966,,,118356,1,0
Other,1305,Kade House ,Guest Housing,31 S. West St.,,1997,,1800,0,0
Admin,1685,Kaufman Hall,"Public Safety, Facilities management, ENST, PSYCH, GEOS, CSE, ALLARM",400 W. North / 145 Cherry,,2004,2007,78015,1,0
Academic,1432,Keck Archeology Lab,Archeology,169 W. High St.,,1998,,1511,0,0
Other,1310,King House,Assitant coaches,103 Conway St. ,1967,2000,,2745,0,0
Res Hall - L,1380,Kisner - Woodward ,Students,411 Dickinson Ave.,1969,,,23000,1,0
