NAME,meter_origin,kwh_tot,kwh_count
100 S. West St.,100 S West St ,12628,365
100 S. West St.,102 S West St *Apt 1 ,4609,365
100 S. West St.,102 S West St *Apt 2 ,4109,365
100 S. West St.,102 S West St *Apt 3 ,2070,365
100 S. West St.,102 S West St *Apt 4 ,7284,365
100 S. West St.,102 S West St *Apt 5 ,5457,365
100 S. West St.,102 S West St *Apt 6 ,3365,365
100 S. West St.,102 S West St *Apt 7 ,6181,365
100 S. West St.,102 S West St *Apt 8 ,5231,365
100 S. West St.,102 S West St *Apt 9 ,3948,365
"119 W. High St. (1, 2, 3)",119 W High St *Unit 1 ,4845,365
"119 W. High St. (1, 2, 3)",119 W High St *Unit 3 ,6430,365
"119 W. High St. (1, 2, 3)","119 W High St, Apt 2 ",8716,365
133 N. College St.,133 N College St ,17555,365
"133 W. High St. (2, 5)",133 W High St *Apt 2 ,5886,347
"133 W. High St. (2, 5)",133 W High St Apt 5 ,3587,348
135 Cedar St. ,135 Cedar St ,13830,365
135 N. College St.,135 N College St ,18531,365
141 W. High St.,141 High St *Unit 3c ,9517,365
141 W. High St.,141 W High St *Apt 2b ,8278,365
141 W. High St.,141 W High St *Apt 2c ,3490,365
141 W. High St.,141 W High St *Apt 3a ,8990,365
141 W. High St.,141 W High St *Apt 3b ,17238,365
141 W. High St.,141 W High St Hm ,2448,365
141 W. High St.,141 W High St Office *Apt 2a ,10874,365
146 W. Louther St.,146 W Louther St 1fl ,8628,365
146 W. Louther St.,146 W Louther St 2fl ,8328,365
146 W. Louther St.,"146 W Louther St, Common ",1510,365
152 W. Louther St.,152 W Louther St *Apt 1 ,15523,348
152 W. Louther St.,152 W Louther St *Apt 2 ,8554,348
152 W. Louther St.,152 W Louther St *Apt 3 ,13838,348
152 W. Louther St.,152 W Louther St *Apt 4 ,12639,348
152 W. Louther St.,"152 W Louther St, Hse Mtr ",2576,348
155 W. High St.,155 W High St 2fl ,8851,365
"155 W. High St., Ground Floor",155 W High St 1fl ,1068,365
159 W. High St.,159 W High St A6 ,9550,365
