banner_code,NAME,TYPE,type_new,occupant,address,date_constr,date_acqd,date_reno,sqft,rental,main_meter,weis_meter
1110,162-164  Dickinson Ave.,Academic,Academic,DEAL Archeology Labs,162-164 Dickinson Ave.,,1998,2010,2500,0,0,0
1540,46 S. West St.,Academic,Academic,Music office/rehearsal space,46 S. West St.,,1982,,1775,0,0,0
1035,57 S. College,Academic,Academic,Education Dept. Offices,57 S. College St.,,1979,,4576,0,0,0
1195,61 N. West St.,Academic,Academic,House Divided/Diamond 6,61 N. West St.,1895,1993,,3091,0,1,0
1005,Althouse,Academic,Academic,"IBM, African Studies",261 W. Louther St.,1957,,2009,29133,0,1,0
1090,Biddle House,Academic,Academic,"Registrar, Career Center, Advising",8 N. College St.,1827,1946,,12600,0,1,0
1010,Bosler,Academic,Academic,Foreign Languages,201 W. High St.,1884,,1940,33692,0,1,0
1665,Carlisle Theatre,Academic,Academic,Cubiculo,44 W. High St.,,,1997,4000,1,0,0
1015,Clarke Center,Academic,Academic,Clark Center/CCLA,249-255 W. Louther St.,,1987,,6638,0,1,0
1095,Cook House,Academic,Academic,Center for the Future of Native Peoples,239 W. Louther St.,,1986,,3138,0,1,0
1020,Dana,OFFLINE,Academic,Offline,277 W. Louther St.,1966,,,29544,0,1,0
1025,Denny Hall,Academic,Academic,Social Sciences,199 W. High St.,1905,,1984,36512,0,1,0
1030,East College,Academic,Academic,Humanities,50 N. West St. ,1836,,2019,28050,0,0,0
1040,Goodyear Arts Studio,Academic,Academic,Fine Arts ,559 W. Louther St.,1891,1979,2000,30000,0,0,0
1810,Green Valley Sanctuary,Academic,Academic,Research Facility,,,1966,,2500,0,0,0
1685,Kaufman Hall,Academic,Academic,"Geology, EnviSci, ALLARM, CSE, Psychology",400 W. North / 145 Cherry St.,,2004,2007,53539,0,1,0
1432,Keck Archeology Lab,Academic,Academic,Archeology,169 W. High St.,,1998,,1511,0,1,0
1060,Montgomery House,Academic,Academic,Theatre and Dance,324 W. Louther St. ,1837,1950,2002,11039,0,1,0
1045,Rector Science Center,Academic,Academic,"Biology, Psychology, Chemistry, Neuroscience, Biochemistry, Molecular biology",301 W. Louther St.,2007,,,112800,0,1,0
1065,Stern Center,Academic,Academic,Global Education,208 W. Louther St.,1885,,2001,22000,0,1,0
1070,Tome,Academic,Academic,"Physics, Astronomy, Math, Computer Science",343 W. Louther St.,2000,,,52000,0,1,0
1075,Waidner Spahr Library,Academic,Academic,LIS,333 W. High St. ,1967/1998,,,120000,0,1,0
1275,41 Conway St.,Administration,Admin,Title IX,41 Conway St.,,,,2200,0,0,0
1999,5 N. Orange St. - Facilities,Administration,Admin,"Facilities Management, Print Center, CASE",5 N. Orange St.,,1994,,75000,0,0,0
1085,50 Mooreland Ave.,Administration,Admin,"College Relations, Development",50 Mooreland Ave.,,1998,,27100,0,0,0
1585,554 W. Louther St.,Administration,Admin,ROTC Offices ,554 W. Louther St.,,1984,2017,1440,0,0,0
1590,556 W. Louther St.,Administration,Admin,ROTC Offices,556 W. Louther St.,,1987,2017,2000,0,0,0
1685,Kaufman Hall,Administration,Admin,Public Safety,400 W. North / 145 Cherry,,2004,2007,7169,0,1,0
1685,Kaufman Hall,Administration,Admin,Facilities Management Storage,400 W. North St.,,2004,2007,17307,0,1,0
1120,Old West,Administration,Admin,"President's Office, Finance & Administration, Provost, Legal, Disability Services",230 W. Louther St.,1803,,,30208,0,1,0
1130,Rand House,Administration,Admin,Human Resources,55 N. West St.,1900,1985,,2540,0,1,0
1140,South College Annex,Administration,Admin,IT Storage,218 W. Church Ave.,1949,1957,,1800,0,0,1
1145,South College East,Administration,Admin,IT,220 W. Church Ave.,1948,,,10566,0,0,1
