occupants,address,semester,year,NAME
18,100 S West St,Spring,2025,100 S. West St.
2,128 Cherry St,Spring,2025,Cherry Apts
2,130 Cherry St,Spring,2025,Cherry Apts
5,133 N College St,Spring,2025,133 N. College St.
4,133 W High St,Spring,2025,"133 W. High St. (2, 5)"
4,135 Cedar St,Spring,2025,135 Cedar St.
4,135 N College St,Spring,2025,135 N. College St.
4,136 Cherry St,Spring,2025,Cherry Apts
4,139 N College St,Spring,2025,139 N. College St.
4,140 Cherry St,Spring,2025,Cherry Apts
20,141 W High St,Spring,2025,141 W. High St.
7,146 W Louther St,Spring,2025,146 W. Louther St.
8,152 W Louther St,Spring,2025,152 W. Louther St.
4,154-156 W Louther St,Spring,2025,154 W. Louther St. (1)
6,155 W High,Spring,2025,155 W. High St.
18,159 W High St,Spring,2025,159 W. High St.
12,163 W High St,Spring,2025,163 W. High St
11,165 W High St,Spring,2025,165 W. High St
12,169 W High St,Spring,2025,169 W. High St.
10,170 W Louther St,Spring,2025,170 W. Louther St.
14,171 W High St,Spring,2025,171 W. High St.
1,19 W High,Spring,2025,19-21 W. High St.
4,2 Conway St,Spring,2025,2 Conway St.
8,23 W High,Spring,2025,23 W. High St.
26,230 W North St,Spring,2025,Factory Apts.
23,236 W North St,Spring,2025,Factory Apts.
39,25-27 W High,Spring,2025,27 W. High St.
8,34 S West St,Spring,2025,Schuman House
8,373 W Louther St,Spring,2025,Townhouse - 373 W. Louther St.
8,377 W Louther St,Spring,2025,Townhouse - 377 W. Louther St.
8,379 W Louther St,Spring,2025,Townhouse - 379 W. Louther St.
8,381 W Louther St,Spring,2025,Townhouse - 381 W. Louther St.
8,383 W Louther St,Spring,2025,Townhouse - 383 W. Louther St.
5,417 W Louther St,Spring,2025,417 W. Louther St.
4,425 W Louther St,Spring,2025,425 W. Louther St.
3,49 S College St,Spring,2025,49 S. College St.
4,502 Reed St,Spring,2025,Reed Apts.
3,504 Reed St,Spring,2025,Reed Apts.
5,505 W Louther St,Spring,2025,505 W. Louther St.
3,506 Reed St,Spring,2025,Reed Apts.
5,507 W Louther St,Spring,2025,507 W. Louther St.
3,508 Reed St,Spring,2025,Reed Apts.
5,509 W Louther St,Spring,2025,509 W. Louther St.
3,51 S College St,Spring,2025,51 S. College St.
3,510 Reed St,Spring,2025,Reed Apts.
3,512 Reed St,Spring,2025,Reed Apts.
5,513 W Louther St,Spring,2025,513 W. Louther St.
6,515 W Louther St,Spring,2025,515 W. Louther St.
4,519 W Louther St,Spring,2025,519 W. Louther St.
6,521 W Louther St,Spring,2025,521 W. Louther St.
4,527 W Louther St,Spring,2025,527 W. Louther St.
5,529 W Louther St,Spring,2025,529 W. Louther St.
6,531 W Louther St,Spring,2025,531 W. Louther St.
12,532 W Louther St,Spring,2025,Treehouse
3,538 W Louther St,Spring,2025,538 W. Louther St.
161,Adams Hall,Spring,2025,Adams
38,Armstrong Hall,Spring,2025,Armstrong / Quad 8
39,Atwater Hall,Spring,2025,Atwater / Quad 7
107,Baird-McClintock,Spring,2025,Baird McClintock / Quad 4-5
40,Buchanan Hall,Spring,2025,Buchanan / Quad 2
43,Conway Hall,Spring,2025,Conway / Quad 1
117,Davidson-Wilson,Spring,2025,Davidson Wilson / Quad 9-10
159,Drayer Hall,Spring,2025,Drayer Hall
116,Goodyear,Spring,2025,Goodyear + Goodyear Arts Studio
110,Highstreet Residence,Spring,2025,High Street Residence Hall
90,Kisner-Woodward Hall,Spring,2025,Kisner - Woodward 
38,Longsdorff Hall,Spring,2025,Longsdorff / Quad 6
63,Malcolm Hall,Spring,2025,Malcolm Hall
23,Matthews House,Spring,2025,Matthews House
94,McKenney Hall - Suites,Spring,2025,McKenney Hall 
130,Morgan Hall,Spring,2025,Morgan Hall
23,Reed House,Spring,2025,Reed House 
41,Spradley-Young Hall,Spring,2025,Spradley-Young  / Quad 3
12,Strayer House,Spring,2025,Strayer House
20,Stuart Hall,Spring,2025,Stuart Hall
18,Todd House,Spring,2025,Todd House 
6,Vincett House,Spring,2025,Vincett House
73,Witwer Hall,Spring,2025,Witwer Hall
20,100 S West St,Fall,2024,100 S. West St.
2,128 Cherry St,Fall,2024,Cherry Apts
2,130 Cherry St,Fall,2024,Cherry Apts
5,133 N College St,Fall,2024,133 N. College St.
5,133 W High St,Fall,2024,"133 W. High St. (2, 5)"
4,135 Cedar St,Fall,2024,135 Cedar St.
4,135 N College St,Fall,2024,135 N. College St.
4,136 Cherry St,Fall,2024,Cherry Apts
4,139 N College St,Fall,2024,139 N. College St.
4,140 Cherry St,Fall,2024,Cherry Apts
20,141 W High St,Fall,2024,141 W. High St.
7,146 W Louther St,Fall,2024,146 W. Louther St.
8,152 W Louther St,Fall,2024,152 W. Louther St.
4,154-156 W Louther St,Fall,2024,154 W. Louther St. (1)
6,155 W High,Fall,2024,155 W. High St.
18,159 W High St,Fall,2024,159 W. High St.
12,163 W High St,Fall,2024,163 W. High St
11,165 W High St,Fall,2024,165 W. High St
12,169 W High St,Fall,2024,169 W. High St.
12,170 W Louther St,Fall,2024,170 W. Louther St.
16,171 W High St,Fall,2024,171 W. High St.
2,19 W High,Fall,2024,19-21 W. High St.
4,2 Conway St,Fall,2024,2 Conway St.
8,23 W High,Fall,2024,23 W. High St.
30,230 W North St,Fall,2024,Factory Apts.
25,236 W North St,Fall,2024,Factory Apts.
42,25-27 W High,Fall,2024,27 W. High St.
4,34 S West St,Fall,2024,Schuman House
8,373 W Louther St,Fall,2024,Townhouse - 373 W. Louther St.
8,377 W Louther St,Fall,2024,Townhouse - 377 W. Louther St.
8,379 W Louther St,Fall,2024,Townhouse - 379 W. Louther St.
8,381 W Louther St,Fall,2024,Townhouse - 381 W. Louther St.
8,383 W Louther St,Fall,2024,Townhouse - 383 W. Louther St.
5,417 W Louther St,Fall,2024,417 W. Louther St.
3,425 W Louther St,Fall,2024,425 W. Louther St.
3,49 S College St,Fall,2024,49 S. College St.
4,502 Reed St,Fall,2024,Reed Apts.
4,504 Reed St,Fall,2024,Reed Apts.
5,505 W Louther St,Fall,2024,505 W. Louther St.
2,506 Reed St,Fall,2024,Reed Apts.
5,507 W Louther St,Fall,2024,507 W. Louther St.
3,508 Reed St,Fall,2024,Reed Apts.
5,509 W Louther St,Fall,2024,509 W. Louther St.
3,51 S College St,Fall,2024,51 S. College St.
3,510 Reed St,Fall,2024,Reed Apts.
3,512 Reed St,Fall,2024,Reed Apts.
5,513 W Louther St,Fall,2024,513 W. Louther St.
6,515 W Louther St,Fall,2024,515 W. Louther St.
4,519 W Louther St,Fall,2024,519 W. Louther St.
6,521 W Louther St,Fall,2024,521 W. Louther St.
4,527 W Louther St,Fall,2024,527 W. Louther St.
5,529 W Louther St,Fall,2024,529 W. Louther St.
6,531 W Louther St,Fall,2024,531 W. Louther St.
14,532 W Louther St,Fall,2024,Treehouse
3,538 W Louther St,Fall,2024,538 W. Louther St.
162,Adams Hall,Fall,2024,Adams
39,Armstrong Hall,Fall,2024,Armstrong / Quad 8
40,Atwater Hall,Fall,2024,Atwater / Quad 7
114,Baird-McClintock,Fall,2024,Baird McClintock / Quad 4-5
38,Buchanan Hall,Fall,2024,Buchanan / Quad 2
44,Conway Hall,Fall,2024,Conway / Quad 1
123,Davidson-Wilson,Fall,2024,Davidson Wilson / Quad 9-10
162,Drayer Hall,Fall,2024,Drayer Hall
117,Goodyear,Fall,2024,Goodyear + Goodyear Arts Studio
128,Highstreet Residence,Fall,2024,High Street Residence Hall
96,Kisner-Woodward Hall,Fall,2024,Kisner - Woodward 
39,Longsdorff Hall,Fall,2024,Longsdorff / Quad 6
68,Malcolm Hall,Fall,2024,Malcolm Hall 
24,Matthews House,Fall,2024,Matthews House
97,McKenney Hall - Suites,Fall,2024,McKenney Hall 
152,Morgan Hall,Fall,2024,Morgan Hall
23,Reed House,Fall,2024,Reed House 
41,Spradley-Young Hall,Fall,2024,Spradley-Young  / Quad 3
12,Strayer House,Fall,2024,Strayer House
27,Stuart Hall,Fall,2024,Stuart Hall
22,Todd House,Fall,2024,Todd House 
9,Vincett House,Fall,2024,Vincett House
79,Witwer Hall,Fall,2024,Witwer Hall
