meter_origin,Sum of Total Usage kWh,NAME
100 S College St ,269502,Drayer Hall
100 S West St ,12628,100 S. West St.
101 S College St ,14429,Landis House
102 S West St *Apt 1 ,4609,100 S. West St.
102 S West St *Apt 2 ,4109,100 S. West St.
102 S West St *Apt 3 ,2070,100 S. West St.
102 S West St *Apt 4 ,7284,100 S. West St.
102 S West St *Apt 5 ,5457,100 S. West St.
102 S West St *Apt 6 ,3365,100 S. West St.
102 S West St *Apt 7 ,6181,100 S. West St.
102 S West St *Apt 8 ,5231,100 S. West St.
102 S West St *Apt 9 ,3948,100 S. West St.
103 Conway St ,64445,King House
119 W High St *Unit 1 ,4845,"119 W. High St. (1, 2, 3)"
119 W High St *Unit 3 ,6430,"119 W. High St. (1, 2, 3)"
"119 W High St, Apt 2 ",8716,"119 W. High St. (1, 2, 3)"
1250 Ritner Hwy ,22830,Wentzel
127 Conway St ,30585,President's House (New)
129 S College St Rr ,1952,Carriage House
130 Cherry St Hse Mtr ,19464,Cherry Apts
131 S College St ,18275,Strayer House
133 N College St ,17555,133 N. College St.
133 W High St *Apt 2 ,5886,"133 W. High St. (2, 5)"
133 W High St Apt 5 ,3587,"133 W. High St. (2, 5)"
135 Cedar St ,13830,135 Cedar St. 
135 N College St ,18531,135 N. College St.
135 N College St ,,139 N. College St.
141 High St *Unit 3c ,9517,141 W. High St.
141 W High St *Apt 2b ,8278,141 W. High St.
141 W High St *Apt 2c ,3490,141 W. High St.
141 W High St *Apt 3a ,8990,141 W. High St.
141 W High St *Apt 3b ,17238,141 W. High St.
141 W High St Hm ,2448,141 W. High St.
141 W High St Office *Apt 2a ,10874,141 W. High St.
146 W Louther St 1fl ,8628,146 W. Louther St.
146 W Louther St 2fl ,8328,146 W. Louther St.
"146 W Louther St, Common ",1510,146 W. Louther St.
152 W Louther St *Apt 1 ,15523,152 W. Louther St.
152 W Louther St *Apt 2 ,8554,152 W. Louther St.
152 W Louther St *Apt 3 ,13838,152 W. Louther St.
152 W Louther St *Apt 4 ,12639,152 W. Louther St.
"152 W Louther St, Hse Mtr ",2576,152 W. Louther St.
155 W High St 1fl ,1068,"155 W. High St., Ground Floor"
155 W High St 2fl ,8851,155 W. High St.
"156 W Louther St, 1fl ",16662,154 W. Louther St. (1)
159 W High St A6 ,9550,159 W. High St.
159 W High St Apt 1A ,2102,159 W. High St.
159 W High St Apt 1B ,2207,159 W. High St.
159 W High St Apt 2 ,4587,159 W. High St.
159 W High St Apt 3 ,4255,159 W. High St.
159 W High St Apt 4 ,3138,159 W. High St.
159 W High St Apt 5 ,3413,159 W. High St.
163 W High St ,1835,163 W. High St
163 W High St *Apt 3 ,4267,163 W. High St
163 W High St *Apt 6 ,1669,163 W. High St
163 W High St 1fl Apt 2 ,1146,163 W. High St
163 W High St 1fl N 1 ,2406,163 W. High St
163 W High St Apt 4 ,1632,163 W. High St
163 W High St Apt 5 ,1907,163 W. High St
164 Dickinson Ave 1fl ,9217,162-164  Dickinson Ave.
165 W High St ,2567,165 W. High St
165 W High St *Apt 3 ,1144,165 W. High St
165 W High St 1fr ,1238,165 W. High St
165 W High St 2fr ,2187,165 W. High St
"165 W High St, 1f Rear ",886,165 W. High St
"165 W High St, 3fl Rear ",2803,165 W. High St
"165 W High St, 3fl-front ",1865,165 W. High St
19 W High St *Apt 2fl ,3219,19-21 W. High St.
2 Conway St ,5543,2 Conway St.
"21 W High St, Owners Meter ",1995,19-21 W. High St.
23 W High St 2fl ,7738,23 W. High St.
23 W High St 3fl ,6528,23 W. High St.
230 W North St *Apt 1 ,17508,Factory Apts.
230 W North St *Apt 10 ,5794,Factory Apts.
230 W North St *Apt 11 ,7906,Factory Apts.
230 W North St *Apt 2 ,15076,Factory Apts.
230 W North St *Apt 3 ,10120,Factory Apts.
230 W North St *Apt 4 ,11102,Factory Apts.
230 W North St *Apt 5 ,8433,Factory Apts.
230 W North St *Apt 6 ,6235,Factory Apts.
230 W North St *Apt 7 ,6361,Factory Apts.
230 W North St *Apt 8 ,13825,Factory Apts.
230 W North St *Apt 9 ,12212,Factory Apts.
236 W North St *Apt  7 ,11326,Factory Apts.
236 W North St *Apt 1 ,16593,Factory Apts.
236 W North St *Apt 2 ,7832,Factory Apts.
