building_name,NAME
100 S West St,100 S. West St.
119 W High St,"119 W. High St. (1, 2, 3)"
133 N College St,133 N. College St.
133 W High St,"133 W. High St. (2, 5)"
135 Cedar St,135 Cedar St.
135 N College St,135 N. College St. / 139 N. College St.
139 N College St,135 N. College St. / 139 N. College St.
141 W High St,141 W. High St.
146 W Louther St,146 W. Louther St.
152 W Louther St,152 W. Louther St.
154-156 W Louther St,154 W. Louther St. (1)
155 W High,155 W. High St.
159 W High St,159 W. High St.
163 W High St,163 W. High St
165 W High St,165 W. High St
169 W High St,169 W. High St.
170 W Louther St,170 W. Louther St.
171 W High St,171 W. High St.
19 W High,19-21 W. High St.
2 Conway St,2 Conway St.
23 W High,23 W. High St.
25-27 W High,27 W. High St.
417 W Louther St,417 W. Louther St.
425 W Louther St,425 W. Louther St.
49 S College St,49 S. College St./51 S. College St.
505 W Louther St,505 W. Louther St.
507 W Louther St,507 W. Louther St.
509 W Louther St,509 W. Louther St.
51 S College St,49 S. College St./51 S. College St.
513 W Louther St,513 W. Louther St.
515 W Louther St,515 W. Louther St.
519 W Louther St,519 W. Louther St.
521 W Louther St,521 W. Louther St.
527 W Louther St,527 W. Louther St.
529 W Louther St,529 W. Louther St.
531 W Louther St,531 W. Louther St.
538 W Louther St,538 W. Louther St.
Adams Hall,Adams
Armstrong Hall,Armstrong / Quad 8
Atwater Hall,Atwater / Quad 7
Baird-McClintock,Baird McClintock / Quad 4-5
Buchanan Hall,Buchanan / Quad 2
128 Cherry St,Cherry Apts
130 Cherry St,Cherry Apts
136 Cherry St,Cherry Apts
140 Cherry St,Cherry Apts
Conway Hall,Conway / Quad 1
Davidson-Wilson,Davidson Wilson / Quad 9-10
Drayer Hall,Drayer Hall
230 W North St,Factory Apts.
236 W North St,Factory Apts.
Goodyear,Goodyear + Goodyear Arts Studio
Highstreet Residence,High Street Residence Hall
Kisner-Woodward Hall,Kisner - Woodward 
Longsdorff Hall,Longsdorff / Quad 6
Malcolm Hall,Malcolm Hall 
Matthews House,Matthews House
McKenney Hall - Suites,McKenney Hall 
Morgan Hall,Morgan Hall
502 Reed St,Reed Apts.
504 Reed St,Reed Apts.
506 Reed St,Reed Apts.
508 Reed St,Reed Apts.
510 Reed St,Reed Apts.
512 Reed St,Reed Apts.
Reed House,Reed Apts.
34 S West St,Schuman House
Spradley-Young Hall,Spradley-Young  / Quad 3
Strayer House,Strayer House
Stuart Hall,Stuart Hall
Todd House,Todd House
373 W Louther St,Townhouse - 373 W. Louther St.
377 W Louther St,Townhouse - 377 W. Louther St.
379 W Louther St,Townhouse - 379 W. Louther St.
381 W Louther St,Townhouse - 381 W. Louther St.
383 W Louther St,Townhouse - 383 W. Louther St.
532 W Louther St,Treehouse
Vincett House,Vincett House 
Witwer Hall,Witwer Hall
