building,NAME
Althouse,Althouse
Armstrong,Armstrong / Quad 8
Atwater,Atwater / Quad 7
Baird,Baird McClintock / Quad 4-5
Bosler,Bosler
Buchanan,Buchanan / Quad 2
CHW_Actual,Kaufman Hall
CHW_Base,Kaufman Hall
Conway,Conway / Quad 1
DW,Davidson Wilson / Quad 9-10
HUB,Holland Union Bldg.
KW,Kisner - Woodward
Kline,Kline Life Sport Complex
Library,Waidner Spahr Library
Longsdorff,Longsdorff / Quad 6
McClintock,Baird McClintock / Quad 4-5
McKenny,McKenney Hall
Montgomery,Montgomery House
Old West,Old West
Quarry,"Quarry, The "
Rector,Rector Science Center
Spradley_Cooper,Spradley-Young  / Quad 3
Stern,Stern Center
